day,day2,time,open_at_915,top,bottom,close_at_915,expiry_date,strike_price,right,target,SL,input_price,exit_price,PL,trade,month,year,day_max,PL_TLSL,Result,,
14-01-2020,Tuesday,10:03,32196.4,32196.4,32062.1,32062.1,23-Jan-20,32000,CE,67.15,33.575,400,435,-35,T494,1,2020,37.4,3.825,1,,
15-01-2020,Wednesday,10:03,31994.8,31994.8,31875.1,31875.1,23-Jan-20,31800,CE,59.85,29.925,337.85,377,-39.15,T495,1,2020,45.85,15.925,1,,
16-01-2020,Thursday,10:03,31810.6,31926.9,31810.6,31926.9,23-Jan-20,31900,PE,58.15,29.075,242.55,272.35,-29.8,T496,1,2020,0,-29.075,0,,
17-01-2020,Friday,10:03,31571.7,31616.4,31516.4,31561.1,30-Jan-20,31700,PE,100,50,360,390,-30,T497,1,2020,37,-13,0,,
20-01-2020,Monday,10:03,31923.9,31923.9,31705.1,31705.1,30-Jan-20,31400,CE,109.4,54.7,433.75,310,123.75,T498,1,2020,123.75,123.75,1,,
21-01-2020,Tuesday,10:03,30978.8,30978.8,30914.4,30914.4,30-Jan-20,31100,PE,50,25,359,388.45,-29.45,T499,1,2020,23.6,-1.4,0,,
22-01-2020,Wednesday,10:03,31061.6,31132.7,31061.6,31132.7,30-Jan-20,30900,CE,50,25,410.3,353.65,56.65,T500,1,2020,56.65,56.65,1,,
23-01-2020,Thursday,10:03,30742.2,30742.2,30688.2,30688.2,30-Jan-20,30900,PE,50,25,282.6,307.85,-25.25,T501,1,2020,9,-16,0,,
24-01-2020,Friday,10:03,31040.1,31040.1,30981.5,30981.5,06-Feb-20,31100,PE,50,25,474.45,403.3,71.15,T502,1,2020,71.15,71.15,1,,
27-01-2020,Monday,10:06,31110.6,31148.2,31048.2,31085.8,06-Feb-20,31200,PE,100,50,534,603,-69,T503,1,2020,41.3,-8.7,0,,
28-01-2020,Tuesday,10:03,30922,30966.2,30866.2,30910.4,06-Feb-20,31000,PE,100,50,573.7,624.2,-50.5,T504,1,2020,0,-50,0,,
29-01-2020,Wednesday,10:03,30915.1,30971.95,30871.95,30928.8,06-Feb-20,31000,PE,100,50,566.55,568.95,-2.4,T505,1,2020,84.75,34.75,1,,
30-01-2020,Thursday,10:03,30889.2,30889.2,30742.1,30742.1,06-Feb-20,30700,CE,73.55,36.775,490.6,416.65,73.95,T506,1,2020,73.95,73.95,1,,
31-01-2020,Friday,10:15,30950.5,30950.5,30899.7,30899.7,13-Feb-20,30900,CE,50,25,645.7,594.95,50.75,T507,1,2020,50.75,50.75,1,,
03-02-2020,Monday,10:03,29811.8,29811.8,29740.5,29740.5,13-Feb-20,29800,PE,50,25,435,374.05,60.95,T508,2,2020,60.95,60.95,1,,
04-02-2020,Tuesday,10:03,30235.3,30274.4,30174.4,30213.5,13-Feb-20,30400,PE,100,50,388.1,262,126.1,T509,2,2020,126.1,126.1,1,,
05-02-2020,Wednesday,10:03,30761.9,30791.4,30691.4,30720.9,13-Feb-20,30800,PE,100,50,314.05,373.75,-59.7,T510,2,2020,53.4,3.4,1,,
06-02-2020,Thursday,10:03,31070.8,31133,31033,31095.2,13-Feb-20,31000,CE,100,50,310.95,370.8,-59.85,T511,2,2020,42,-8,0,,
07-02-2020,Friday,10:03,31367.1,31367.1,31237.9,31237.9,20-Feb-20,31200,CE,64.6,32.3,365,402.15,-37.15,T512,2,2020,17.2,-15.1,0,,
10-02-2020,Monday,10:03,31248.7,31248.7,31127.4,31127.4,20-Feb-20,31000,CE,60.65,30.325,373.85,405.1,-31.25,T513,2,2020,15.95,-14.375,0,,
11-02-2020,Tuesday,10:03,31230.2,31328,31230.2,31328,20-Feb-20,31500,PE,50,25,336.1,365,-28.9,T514,2,2020,0,-25,0,,
12-02-2020,Wednesday,10:03,31441.2,31505.75,31405.75,31470.3,20-Feb-20,31500,PE,100,50,264.35,254.15,10.2,T515,2,2020,29.25,10.2,1,,
13-02-2020,Thursday,10:03,31586.6,31586.6,31436.5,31436.5,20-Feb-20,31300,CE,75.05,37.525,259.75,214,45.75,T516,2,2020,62.75,45.75,1,,
14-02-2020,Friday,10:45,31281.8,31372,31281.8,31372,27-Feb-20,31300,CE,50,25,346.7,287.35,59.35,T517,2,2020,59.35,59.35,1,,
17-02-2020,Monday,10:03,30873.8,30949.1,30873.8,30949.1,27-Feb-20,30800,CE,50,25,389.15,338.6,50.55,T518,2,2020,50.55,50.55,1,,
18-02-2020,Tuesday,10:03,30661.5,30661.5,30549.1,30549.1,27-Feb-20,30500,CE,56.2,28.1,343.55,287.05,56.5,T519,2,2020,56.5,56.5,1,,
19-02-2020,Wednesday,10:03,30905,30932.85,30832.85,30860.7,27-Feb-20,30700,CE,100,50,318.6,370,-51.4,T520,2,2020,37.6,-12.4,0,,
20-02-2020,Thursday,10:12,30862.3,30862.3,30781.2,30781.2,27-Feb-20,30900,PE,50,25,264.55,212.65,51.9,T521,2,2020,51.9,51.9,1,,
24-02-2020,Monday,12:24,30666.3,30666.3,30504.7,30504.7,05-Mar-20,30700,PE,80.8,40.4,371.35,413.7,-42.35,T522,2,2020,0,-40.4,0,,
25-02-2020,Tuesday,10:06,30517,30517,30412.7,30412.7,05-Mar-20,30500,PE,52.15,26.075,311.75,339.65,-27.9,T523,2,2020,0,-26.075,0,,
26-02-2020,Wednesday,10:51,30279.9,30334.25,30234.25,30288.6,05-Mar-20,30200,CE,100,50,403,453.6,-50.6,T524,2,2020,16.05,-33.95,0,,
27-02-2020,Thursday,10:03,30270,30270,30183.2,30183.2,05-Mar-20,30000,CE,50,25,399.05,424.75,-25.7,T525,2,2020,36.1,11.1,1,,
28-02-2020,Friday,10:03,29501.6,29543,29443,29484.4,12-Mar-20,29400,CE,100,50,528.5,475.05,53.45,T526,2,2020,53.45,53.45,1,,
02-03-2020,Monday,10:03,29701,29740.35,29640.35,29679.7,12-Mar-20,29500,CE,100,50,484.8,535,-50.2,T527,3,2020,39.8,-10.2,0,,
03-03-2020,Tuesday,10:24,29012.6,29176.9,29012.6,29176.9,12-Mar-20,28900,CE,82.15,41.075,657.25,556.45,100.8,T528,3,2020,100.8,100.8,1,,
04-03-2020,Wednesday,10:03,29252.9,29252.9,29089.9,29089.9,12-Mar-20,29000,CE,81.5,40.75,562,480,82,T529,3,2020,82,82,1,,
05-03-2020,Thursday,10:03,28830.3,28892.2,28792.2,28854.1,12-Mar-20,28600,CE,100,50,442.65,495.15,-52.5,T530,3,2020,29.35,-20.65,0,,
11-03-2020,Wednesday,10:06,26272.8,26522.2,26272.8,26522.2,19-Mar-20,26500,PE,124.7,62.35,701.05,779.9,-78.85,T533,3,2020,9.55,-52.8,0,,
12-03-2020,Thursday,10:03,25175.9,25175.9,25098.4,25098.4,19-Mar-20,25000,CE,50,25,688.5,715,-26.5,T534,3,2020,18.75,-6.25,0,,
